no.,cols1,cols2,cols3,cols4,cols5,cols6,cols7,cols8,cols9,cols10,cols11,cols12,cols13,cols14,cols15,cols16,cols17,cols18,cols19,cols20,cols21,label
AAA051,BIGGER,18.5,20.4,6000,1.711,SPDBE,8,168.2,1422,437,43,43,43,43,43,43,1.28,10,1,0,0,NAN
AAA054,BIGGER,18.5,20.4,6000,1.711,SPDBE,8,168.2,1422,437,43,43,43,43,43,43,1.28,10,1,0,0,NAN
AAA055,BIGGER,18.5,20.4,6000,1.711,SPDBE,8,168.2,1422,437,43,43,43,43,43,43,1.28,10,1,0,0,NAN
AAA056,BIGGER,18.5,20.4,6000,1.711,SPDBE,8,168.2,1422,437,43,43,43,43,43,43,1.28,8,0,0,0,NAN
AAA061,NORMAL,18.5,24.2,6000,1.711,SPDBE,6,168.2,1422,437,44,45,44,45,44,44,1.28,10,1,0,0,NAN
AAA057,NORMAL,18.5,24.2,6000,1.711,SPDBE,8,168.2,1422,437,43,43,44,43,44,43,1.28,0,2,0,0,1
AAA058,NORMAL,18.5,24.2,6000,1.711,SPDBE,6,168.2,1422,437,43,44,,44,44,43,1.28,0,3,1,0,0
AAA059,NORMAL,18.5,24.2,6000,1.711,SPDBE,6,168.2,1422,437,43,44,43,44,43,44,1.28,0,3,1,0,0
AAA060,NORMAL,18.5,24.2,6000,1.711,SPDBE,6,168.2,1422,437,44,44,44,44,44,44,1.28,0,3,1,0,0
AAA062,NORMAL,18.5,24.2,6000,1.711,SPDBE,6,168.2,1422,437,43,43,43,43,43,43,1.28,8,0,0,0,0
AAA063,NORMAL,18.5,24.2,6000,1.711,SPDBE,6,168.2,1422,437,43,43,43,43,43,43,1.28,10,1,0,0,NAN
AAA064,NORMAL,18.5,24.2,6000,1.711,SPDBE,6,168.2,1422,437,43,43,43,43,43,43,1.28,10,1,0,0,0
AAA065,NORMAL,18.5,24.2,6000,1.711,SPDBE,8,168.2,1422,437,43,43,43,43,43,43,1.28,10,1,0,0,1
AAA066,NORMAL,18.5,24.2,6000,1.711,SPDBE,8,168.2,1422,437,45,45,45,45,45,45,1.28,10,1,0,0,1
AAA067,NORMAL,18.5,24.2,6000,1.711,SPDBE,8,168.2,1422,437,45,45,45,45,45,45,1.28,10,1,0,0,1
AAA068,NORMAL,18.5,24.2,6000,1.711,SPDBE,8,168.2,1422,437,43,43,43,43,43,43,1.28,10,1,0,0,1
AAA069,NORMAL,18.5,24.2,6000,1.711,SPDBE,6,168.2,1422,437,45,45,45,46,46,46,1.28,10,1,0,0,0
AAA070,NORMAL,18.5,24.2,6000,1.711,SPDBE,6,168.2,1422,437,43,43,43,43,43,43,1.28,10,1,0,0,0
AAA071,NORMAL,18.5,24.2,6000,1.711,SPDBE,8,168.2,1422,437,43,43,43,44,44,43,1.28,10,1,0,0,1
AAA072,BIGGER,18.5,20.4,6000,1.711,SPDBE,8,168.2,1422,437,45,45,45,45,45,45,1.28,0,2,1,1,NAN
AAA073,BIGGER,18.5,20.4,6000,1.711,SPDBE,8,168.2,1422,437,45,45,45,45,45,45,1.28,10,1,0,0,NAN
AAA074,BIGGER,18.5,20.4,6000,1.711,SPDBE,8,168.2,1422,437,47,47,46,47,47,46,1.28,10,1,0,0,NAN
AAA075,NORMAL,18.5,24.2,6000,1.711,SPDBE,8,168.2,1422,437,50.2,43.3,45.4,46,41.1,45.5,1.28,10,1,0,0,0
AAA076,BIGGER,18.5,20.4,6000,1.711,SPDBE,11,168.2,1422,437,49.3,48.6,51.4,50.6,51.1,50.8,1.28,10,1,0,0,NAN
AAA077,NORMAL,18.5,24.2,6000,1.711,SPDBE,8,168.2,1422,437,49.9,63.8,60.5,53.5,52.4,56.4,1.28,10,1,0,0,0
